essay_id,essay,domain1_score,word_count,sent_count,avg_word_len,lemma_count,spell_err_count,noun_count,adj_count,verb_count,adv_count,neg_score,pos_score,neu_score,cosine_similarity
5978,The features of the setting affect the cyclist in many ways. The features of the setting that affect the cyclist is the lact of information on were to go and the lack of water. This was a problem because he needed water for his trip and directions on were to go.  ,1.0,51,3,4.098039215686274,30,0.0196078431372549,0.29411764705882354,0.0196078431372549,0.17647058823529413,0.0,0.094,0.0,0.906,0.0860983250990228
5979,"The features of the setting affected the cyclist in a negative way. He was in the desert, which is dry and hot. “I was traveling through the high deserts of California in June.""(Kurmaskie @NUM1). Also, the  temperature was hot and made every thing around him hot, “brackish water faling somewhere in the neighborhood of two hundred degrees"" (Kurmaskie @NUM1). Since he was in the desert, there was no escape from the sun. The text  states, “The sun was beginning to beat down”(Kurmaskie @NUM3). The cyclist was all alone in the road with none around him either so into he passed out, no one could help him. “ and the growing realization that I could drop from heatstroke on a gorgous day in June”(Kurmaskie @NUM1). ""About forty miles into the pedal, I arrived at the first ‘town’ but on that morning it fit the traditional definition of a ghost town."" (Kurmaskie @NUM3). Thesettings that the cyclist was riding in wasn't good ones and so they negativly affected him; causing him to be dehydrated and tiredin the end.",2.0,179,12,4.418994413407821,102,0.0893854748603352,0.2737430167597765,0.07262569832402235,0.16201117318435754,0.03910614525139665,0.098,0.043,0.86,0.10843211079375634
5980,"Everyone travels to unfamiliar places. Sometimes we get lost and ask locals for directions which @MONTH1 not be a good idea. The setting affected the cyclist. He had a perfectly good map but asked older men who look like they haven’t been out in ages. The old men apparently haven’t been out because they gave the cyclist the wrong directions.  My advice would be to not listen to anyone no matter their age if you have a perfectly good map with you. Also try to know where you are going at all times. “Yes, sir!",1.0,97,8,4.164948453608248,67,0.010309278350515464,0.2268041237113402,0.08247422680412371,0.1958762886597938,0.1134020618556701,0.151,0.116,0.733,0.041445972926609474
5981,"I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn’t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  ",1.0,87,3,3.896551724137931,60,0.11494252873563218,0.21839080459770116,0.12643678160919541,0.14942528735632185,0.034482758620689655,0.067,0.108,0.825,0.030413959023828995
5982,"The setting effects the cyclist because of the setting were diffrent the story would not of made sense. The setting of the story is not and dry with scaterd ghost towns. When he reaches the first “town” he sees “One ramshackle sheds several rusty pumps and a coral that couldnt hold the lamesh mule.” If the setting had the problem of no water so there would be no conflict in the story, “In the story the speeker says “I was travling through the high deserts of California” that are very hot and dry, and he says “This causes the problem of it being hot and dry if the seting was a forest in @DATE1 he wouldn’t have as much of a problem needing water which would of made the story much less exciting.",2.0,134,3,4.126865671641791,73,0.06716417910447761,0.23134328358208955,0.11194029850746269,0.15671641791044777,0.05970149253731343,0.12,0.029,0.851,0.07180953295369388
5983,"There were many features of the setting that affected the cyclist. For instance, it was extremely hot and dry. Also it  was nearly deserted, almost all of the places he crossed were deserted .A  lost her features of the setting were a ram shackle shed, several rusty pumps, and a corral that caldnt hald in the lamest move.an is the feature give you an idea if haw the cyclist feels.  ",1.0,71,3,4.267605633802817,48,0.028169014084507043,0.22535211267605634,0.09859154929577464,0.18309859154929578,0.056338028169014086,0.09,0.0,0.91,0.05707438792915836
5984,The cyclist was riding through a tower when he stopped for directions. These old men told him to take a short cut and he did and got lost. He was in a ghost town in the desert. In conclusion the desert is hot.,1.0,43,4,3.7906976744186047,34,0.0,0.23255813953488372,0.06976744186046512,0.23255813953488372,0.0,0.193,0.0,0.807,0.07486571718194839
5985,"The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don’t care about the cyclist. I’m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don’t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don’t care about the affects of the cyclist.",0.0,115,8,3.591304347826087,63,0.034782608695652174,0.20869565217391303,0.02608695652173913,0.23478260869565218,0.06956521739130435,0.029,0.111,0.86,0.040985765847635386
5986,"The essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit” describes a man’s bicycle ride through California. Now, California is very hot during the summer, which is when the cyclist is riding. This setting greatly affects the man’s journey. It made it very difficult for him to finish his ride. He drank most of his water in the beginning of his ride so he gets very dehydrated. The text states, “The water bottles contained only a few tantalizing sips.” As you can see the setting makes this man’s bikeride very hard.",2.0,95,6,4.3578947368421055,71,0.010526315789473684,0.29473684210526313,0.06315789473684211,0.2,0.10526315789473684,0.049,0.0,0.951,0.0875956616257201
5987,"In the story, “Rough Road Ahead: Do Not Exceed Posted Speed Limit” written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, “the sun was beginning to beat down.” @CAPS1 makes any task difficult because the sun drain’s a person’s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; “The water bottle contained only dehydration which can cause death. Joe Kurmaskie’s story, “Rough Road Ahead. Do Not Exceed Posted Speed Limit,” represents how certain conditions of an environment can affect a cyclist.  ",3.0,152,8,4.677631578947368,94,0.019736842105263157,0.3618421052631579,0.07236842105263158,0.19078947368421054,0.09210526315789473,0.114,0.049,0.837,0.11337061502514756
